LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-84.927247,40.6384394,,E 700 S,,BERNE,,IN,46711,,f5c040f69356d2ef
-84.9686346,40.6453909,,CARRINGTON WAY,,BERNE,,IN,46711,,a14bbb3799c20e0b
-84.9682434,40.6453941,1390,CARRINGTON WAY,,BERNE,,IN,46711,,ed44135bafd6de50
-84.9678524,40.6453986,,CARRINGTON WAY,,BERNE,,IN,46711,,aec606dbc87b096f
-84.9674612,40.6454035,,CARRINGTON WAY,,BERNE,,IN,46711,,758b2cde4c25304e
-84.9685649,40.6458706,,CARRINGTON WAY,,BERNE,,IN,46711,,3b2cf35c41e443f1
-84.9681646,40.6458749,,BLACK BEAR PATH,,BERNE,,IN,46711,,1f7156c60a2fbd8b
-84.9681998,40.6461766,,BLACK BEAR PATH,,BERNE,,IN,46711,,c80a04c5e232d632
-84.9682022,40.6464573,,BLACK BEAR PATH,,BERNE,,IN,46711,,aea20c106e738810
-84.968202,40.6467372,,BLACK BEAR PATH,,BERNE,,IN,46711,,7681f25b27054a34
-84.9682014,40.6470172,,BLACK BEAR PATH,,BERNE,,IN,46711,,cb3a979d41fd7271
-84.9682027,40.6472984,,BLACK BEAR PATH,,BERNE,,IN,46711,,7ca38dc1ff89a7c9
-84.968146,40.647623,,BLACK BEAR PATH,,BERNE,,IN,46711,,52e39f0202d882da
-84.968526,40.6476204,,CLAW COURT,,BERNE,,IN,46711,,b688c66d47025778
-84.9689296,40.6475695,,CLAW COURT,,BERNE,,IN,46711,,c292e55b19647c4a
-84.9692664,40.6476978,,CLAW COURT,,BERNE,,IN,46711,,d1fede74d90660a0
-84.9692591,40.6480276,,CLAW COURT,,BERNE,,IN,46711,,46bf455ad813a708
-84.9689378,40.6481676,,CLAW COURT,,BERNE,,IN,46711,,67f939254ec607fb
-84.9685327,40.6481266,,CLAW COURT,,BERNE,,IN,46711,,29d008a63f025065
-84.96812,40.6481359,,CLAW COURT,,BERNE,,IN,46711,,8a6e5e4c9a237975
-84.9677613,40.6483333,,BLACK BEAR PATH,,BERNE,,IN,46711,,5f75064824253bc4
-84.9674687,40.6480228,,BLACK BEAR PATH,,BERNE,,IN,46711,,3d4f5a38c4f5ef8a
-84.9674993,40.6477236,,BLACK BEAR PATH,,BERNE,,IN,46711,,00516c2a066de6c4
-84.9675002,40.6474766,,BLACK BEAR PATH,,BERNE,,IN,46711,,f9c29f11e6f9ee92
-84.9675009,40.6473256,,BLACK BEAR PATH,,BERNE,,IN,46711,,47ce7c5c8d1226c0
-84.9675022,40.6471884,1035,BLACK BEAR PATH,,BERNE,,IN,46711,,a12d371dba11107a
-84.9675048,40.6469688,,BLACK BEAR PATH,,BERNE,,IN,46711,,83ec60d6a48d5b59
-84.9675074,40.6467492,,BLACK BEAR PATH,,BERNE,,IN,46711,,3b572cf7ffc7f7eb
-84.9675083,40.6465296,,BLACK BEAR PATH,,BERNE,,IN,46711,,761c46b67a0ada57
-84.9675056,40.6463101,,BLACK BEAR PATH,,BERNE,,IN,46711,,27c87547e57aaf2b
-84.9675025,40.6460905,,BLACK BEAR PATH,,BERNE,,IN,46711,,4219bf428a9e9d00
-84.9675025,40.6458495,,BLACK BEAR PATH,,BERNE,,IN,46711,,3caa41cbff1ce9e2
-84.952418,40.6075866,,,, ,, , ,,557c7b8345716c55
-85.0024748,40.628191,,,, ,, , ,,3d2092105716f545
-84.9409203,40.8247811,,,, ,, , ,,59eea757cde2a796
-84.956138,40.6479978,,,, ,, , ,,70f020c3c616f986
-84.9490618,40.6582873,,,, ,, , ,,ca0eae30c1b03621
-84.9566232,40.6150305,,,, ,, , ,,989dd2efce33a8f1
-84.967995,40.6469275,,,, ,, , ,,42e04cdbac80a891
-84.9397673,40.8219633,,,, ,, , ,,c54338340fa6d99a
-84.9440194,40.7538571,,,, ,, , ,,4e5f7ca11ba140b0
-84.939907,40.8605193,,,, ,, , ,,c2cd966c5bcc2b07
-84.9693035,40.645836,,,, ,, , ,,9b52c14efc6931af
-84.9136119,40.8371802,,,, ,, , ,,83939161966d946e
-84.9159815,40.8304728,,,, ,, , ,,11c3c60bc61b36b4
-84.9421198,40.8165403,,,, ,, , ,,a6190fcdf7ca55c2
-84.9417296,40.845285,,,, ,, , ,,3dae94e1553461e2
-84.9448377,40.8107956,,,, ,, , ,,b698db22d9ceeb73
-84.9101941,40.843042,,,, ,, , ,,01409ba0c5befc27
-84.9394516,40.6575276,,,, ,, , ,,99777a95e89d6391
-84.9696936,40.5909035,,,, ,, , ,,a2b3790ed898fd24
-84.8277987,40.7842796,5654,E 225 N,,DECATUR,,IN,46733,,043112dccf74eae6
-84.8813877,40.8031042,3885,N US HIGHWAY 33,,DECATUR,,IN,46733,,3bdcdbb6afeed319
-85.0434791,40.7145117,5605,W 200 S-1,,BLUFFTON,,IN,46714,,bc06e775f795c2d2
-84.8877648,40.7477953,,E STATE RD 124,,DECATUR,,IN,46733,,ed6c6ed3889b89dc
-84.8840812,40.7479428,,E STATE RD 124,,DECATUR,,IN,46733,,4f4baf378690026e
-84.8650071,40.7422896,,S 400 E,,DECATUR,,IN,46733,,11220e450b5f23d2
